,Total_Associations,Positive_WithinGenus,Negative_WithinGenus,Positive_WithinFamily,Negative_WithinFamily,Positive_WithinOrder,Negative_WithinOrder,Positive_WithinClass,Negative_WithinClass,Positive_WithinPhylum,Negative_WithinPhylum,Positive_OutsidePhylum,Negative_OutsidePhylum
69,292,10.0,0.0,29,1.0,68,1.0,0.0,0.0,45,1.0,132,5.0
70,292,8.0,0.0,22,1.0,75,2.0,0.0,0.0,49,1.0,130,4.0
71,292,6.0,0.0,26,0.0,86,2.0,0.0,0.0,41,1.0,125,5.0
72,292,13.0,1.0,18,1.0,80,2.0,0.0,0.0,56,1.0,117,3.0
73,292,13.0,0.0,25,3.0,74,1.0,1.0,0.0,43,1.0,128,3.0
74,292,16.0,0.0,24,0.0,74,3.0,0.0,0.0,54,0.0,116,5.0
75,292,5.0,0.0,14,0.0,68,2.0,1.0,0.0,61,0.0,135,6.0
76,292,9.0,0.0,23,0.0,73,4.0,0.0,0.0,47,1.0,132,3.0
77,292,15.0,0.0,27,1.0,73,3.0,0.0,0.0,46,0.0,123,4.0
78,292,5.0,0.0,18,0.0,68,4.0,1.0,0.0,53,1.0,139,3.0
79,292,8.0,0.0,29,0.0,65,1.0,1.0,0.0,37,2.0,144,5.0
80,292,6.0,0.0,25,1.0,68,2.0,0.0,0.0,46,2.0,139,3.0
81,292,7.0,0.0,13,1.0,80,5.0,0.0,0.0,55,1.0,129,1.0
82,292,4.0,1.0,31,1.0,79,1.0,1.0,0.0,52,1.0,117,4.0
83,292,6.0,0.0,19,1.0,73,1.0,0.0,0.0,45,3.0,141,3.0
84,292,11.0,0.0,24,1.0,68,4.0,1.0,0.0,51,0.0,129,3.0
85,292,12.0,0.0,15,0.0,67,3.0,0.0,0.0,45,1.0,145,4.0
86,292,4.0,1.0,32,0.0,62,1.0,0.0,0.0,52,2.0,134,4.0
87,292,13.0,0.0,20,0.0,68,3.0,0.0,0.0,46,1.0,137,4.0
88,292,8.0,1.0,27,0.0,67,4.0,0.0,0.0,55,0.0,127,3.0
89,292,16.0,1.0,30,0.0,66,3.0,0.0,0.0,47,0.0,125,4.0
90,292,14.0,0.0,20,0.0,60,4.0,0.0,0.0,38,1.0,152,3.0
91,292,7.0,0.0,26,1.0,84,1.0,0.0,0.0,51,0.0,116,6.0
92,292,9.0,0.0,19,0.0,79,4.0,1.0,0.0,47,2.0,129,2.0
93,292,6.0,0.0,34,0.0,82,3.0,0.0,0.0,52,2.0,110,3.0
94,292,13.0,0.0,23,1.0,74,4.0,1.0,0.0,42,0.0,131,3.0
95,292,9.0,1.0,29,0.0,74,3.0,1.0,0.0,54,0.0,117,4.0
