,ASPL,Average_Degree,Modularity,Average_Clustering_Coefficient,Abundance_Assortativity,Genera_Assortativity,Degree_Assortativity,Transitivity
0,3.7278648791941227,4.206060606060606,0.34835435889343896,0.03726310726310725,-0.007391728124960785,-0.005515189409456451,0.03622304008114397,0.02112676056338028
1,3.663409831098993,4.2303030303030305,0.31502204415398893,0.017690760418033146,-0.0074066109482198925,-0.007819887046076009,0.02638473283692693,0.02288488210818308
2,3.796082779009608,4.036363636363636,0.34863241619998336,0.02512265512265513,-0.007399533952005235,-0.01430666785381237,-0.08237533498635001,0.020833333333333332
3,2.3420905978823345,3.987878787878788,0.34191295350190837,0.01064935064935065,-0.007595997207353972,0.006727787450144443,0.024684416287886965,0.01841903300076746
4,3.6737980216241084,4.157575757575757,0.3623915205399111,0.04052429052429052,-0.007380958497092999,-0.010090380091618176,-0.01157632957096754,0.0499637943519189
5,4.045338919646865,3.7333333333333334,0.35677390791027064,0.023463203463203467,-0.0074605863330554426,-0.011676378794823113,0.058469092479436456,0.010938924339106655
6,3.8492138364779875,3.7818181818181817,0.38175439677843453,0.02294722112903931,-0.007863580595230082,0.004046248945733294,0.06460643936586558,0.029826014913007456
7,3.877749513691456,3.9757575757575756,0.34213265913147,0.01900913900913901,-0.0072936660268713965,-0.003717222491354461,0.04392764857881024,0.03170731707317073
8,3.9118932597193465,3.7818181818181817,0.35927740795529267,0.027267917267917267,-0.00757669854676438,0.004401040830094129,-0.026290666079167097,0.03125
9,3.645047169811321,4.121212121212121,0.32219290657439426,0.018778258778258783,-0.007420576303829682,-0.028804367345472832,-0.012680849162677556,0.022010271460014674
10,3.5656832298136645,4.351515151515152,0.3216106330646103,0.034404652586470755,-0.007524322126979285,-0.004477582025534646,-0.07508688985196875,0.028735632183908046
11,3.958898857449582,3.8424242424242423,0.3679109156226052,0.03773929773929773,-0.007560034090339399,-0.00337727759359921,0.059336557655224366,0.03526448362720403
12,4.128254119894913,3.4060606060606062,0.40331936019047376,0.04912457912457912,-0.008113577315178328,-0.005293459033662166,-0.0739145292714198,0.045454545454545456
13,3.8960403726708073,3.7333333333333334,0.3569425704165947,0.01913900913900914,-0.007952993927673976,-0.006315235505657396,0.024617547555289963,0.025231286795626577
14,3.9032795576762855,3.903030303030303,0.369811156976969,0.03696007696007695,-0.007452607440947559,-0.007468226408326156,-0.1496833409821046,0.039603960396039604
15,3.6819099378881988,4.096969696969697,0.32045008928258945,0.02287157287157287,-0.007549299749532577,-0.0025462941836799876,-0.06718210941350394,0.019650655021834062
16,3.8555631295917596,3.878787878787879,0.3669433593750002,0.032207792207792206,-0.007546761386557517,-0.009030132445311367,0.05746895605315175,0.029654036243822075
17,3.97694099378882,3.793939393939394,0.3752207330890384,0.009076479076479078,-0.007507275887246885,-0.01723964536191611,-0.057223316484335235,0.010462074978204011
18,3.69296833064949,4.181818181818182,0.3243940348666258,0.022145262145262152,-0.007538018106480328,-0.009900211460827325,0.015678388748261895,0.027158774373259052
19,3.878255260823994,3.7333333333333334,0.35933019902175634,0.007647907647907649,-0.007588994099809347,-0.01114239436466611,-0.05281282946457597,0.010704727921498661
