Bacterial_Species,Mean_Relative_Abundance,Total_Edges,Positive_Edges,Negative_Edges,Triangles,Degree_Centrality,Clustering_Coefficient,Harmonic_Centrality,Betweenness_Centrality,Cohort
Acetivibrio_ethanolgignens,0.00026097309526400974,1,1,0,0,0.006097560975609756,0.0,18.523520923520902,0.0,Healthy
Odoribacter_splanchnicus,0.0029565164513850363,8,7,1,4,0.04878048780487805,0.14285714285714285,39.703571428571415,0.05139683892341944,Healthy
Traorella_massiliensis,0.0002828751449228882,4,4,0,2,0.024390243902439025,0.3333333333333333,29.473809523809535,0.0020220103603314737,Healthy
Peptostreptococcus_anaerobius,8.08844085727117e-06,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Anaerotignum_lactatifermentans,0.0012688070391181003,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Parabacteroides_goldsteinii,0.0008416918273793679,3,3,0,1,0.01829268292682927,0.3333333333333333,30.733730158730157,0.008131811244578652,Healthy
Agathobaculum_desmolans,0.0003185662066141535,14,13,1,37,0.08536585365853659,0.4065934065934066,44.192857142857164,0.061932883107285876,Healthy
Eggerthella_lenta,0.0010326568940187723,1,1,0,0,0.006097560975609756,0.0,27.60555555555557,0.0,Healthy
Hungatella_hathewayi,0.0005001453755903081,15,15,0,51,0.09146341463414634,0.4857142857142857,41.845238095238116,0.00846120402689933,Healthy
Lachnospiraceae_bacterium_Choco86,0.00074141658110764,12,10,2,19,0.07317073170731708,0.2878787878787879,41.792857142857144,0.07932074040443467,Healthy
Veillonella_dispar,0.0023031287333064414,1,1,0,0,0.006097560975609756,0.0,15.261710511710513,0.0,Healthy
Gemella_morbillorum,2.8477660194348725e-05,2,2,0,1,0.012195121951219513,1.0,2.0,0.0,Healthy
Fusobacterium_nucleatum,6.18749877766256e-05,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Clostridium_phoceensis,0.0024137173556944805,9,9,0,21,0.054878048780487805,0.5833333333333334,39.9702380952381,0.008233258559222849,Healthy
Alistipes_shahii,0.004039827937272766,1,1,0,0,0.006097560975609756,0.0,17.192182817182807,0.0,Healthy
Eubacterium_eligens,0.016685987772545166,5,5,0,4,0.03048780487804878,0.4,22.865115440115407,0.008192428550052372,Healthy
Parabacteroides_johnsonii,0.007839133589614888,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
bacterium_LF-3,0.00044690974202277195,1,1,0,0,0.006097560975609756,0.0,1.0,0.0,Healthy
Bacteroides_plebeius,0.04002740296362297,3,3,0,3,0.01829268292682927,1.0,28.689682539682543,0.0,Healthy
Lachnoclostridium_phocaeense,0.00022731691399532398,11,11,0,33,0.06707317073170732,0.6,39.920238095238105,0.002793295836331902,Healthy
Parabacteroides_distasonis,0.009230776045040846,4,4,0,4,0.024390243902439025,0.6666666666666666,31.412301587301595,0.00214695285066992,Healthy
Clostridium_innocuum,0.00033682119163756764,10,10,0,29,0.06097560975609756,0.6444444444444445,37.780952380952385,0.002776217666495293,Healthy
Barnesiella_intestinihominis,0.006105188652841859,3,3,0,1,0.01829268292682927,0.3333333333333333,27.469047619047615,0.007027158461768666,Healthy
Subdoligranulum_variabile,0.0009920220099782948,13,12,1,25,0.07926829268292683,0.32051282051282054,44.13452380952382,0.08904981329127473,Healthy
Ruminococcus_gnavus,0.009805390735764339,9,9,0,12,0.054878048780487805,0.3333333333333333,39.49523809523808,0.06820087506594368,Healthy
Bacteroides_caecimuris,0.005237173083221299,9,9,0,15,0.054878048780487805,0.4166666666666667,40.821428571428555,0.07569888357548848,Healthy
Bacteroides_thetaiotaomicron,0.013240570523318887,6,6,0,8,0.03658536585365854,0.5333333333333333,36.36309523809522,0.0031425113154372186,Healthy
Mogibacterium_diversum,0.00025819811381512297,1,1,0,0,0.006097560975609756,0.0,22.929761904761904,0.0,Healthy
Haemophilus_parainfluenzae,0.005627902061939615,3,3,0,1,0.01829268292682927,0.3333333333333333,18.363997113997105,0.008080203501421516,Healthy
Bacteroides_uniformis,0.04639116360877403,4,4,0,3,0.024390243902439025,0.5,31.57896825396826,0.001045694987708108,Healthy
Bacteroides_barnesiae,0.0005858642937950851,5,5,0,2,0.03048780487804878,0.2,29.483730158730157,0.002514813085729356,Healthy
Clostridium_bolteae,0.0035923300016248933,11,11,0,32,0.06707317073170732,0.5818181818181818,39.03095238095239,0.004224830555576828,Healthy
Merdimonas_faecis,0.0003609421330623392,9,9,0,22,0.054878048780487805,0.6111111111111112,37.67023809523811,0.0031170945642214065,Healthy
Blautia_hydrogenotrophica,0.0002292231364973188,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Prevotella_stercorea,0.014184144957807385,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Angelakisella_massiliensis,0.0008725731535296425,7,7,0,8,0.042682926829268296,0.38095238095238093,35.627380952380925,0.01315029328743451,Healthy
Blautia_obeum,0.016763024520123383,3,3,0,2,0.01829268292682927,0.6666666666666666,31.400000000000006,0.000312983191181605,Healthy
Lactobacillus_rogosae,0.012907643102170328,3,3,0,3,0.01829268292682927,1.0,21.865115440115403,0.0,Healthy
Alistipes_obesi,0.0018809752413264944,2,2,0,0,0.012195121951219513,0.0,22.778607503607493,0.0004489001945234176,Healthy
Intestinibacillus_massiliensis,7.092276284984599e-05,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Ruthenibacterium_lactatiformans,0.001782783826348447,16,16,0,53,0.0975609756097561,0.44166666666666665,45.47023809523813,0.03698998913662985,Healthy
Clostridium_saccharogumia,0.00013451106747771894,1,1,0,0,0.006097560975609756,0.0,1.0,0.0,Healthy
Lachnospiraceae_bacterium_GAM79,0.013347960646954444,1,1,0,0,0.006097560975609756,0.0,1.0,0.0,Healthy
Ruminococcus_torques,0.004227039698500101,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Clostridium_saccharolyticum,0.0001524998226794468,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Clostridium_methylpentosum,0.0002071575785236529,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Clostridium_sp_SY8519,0.00015408127242928367,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Bacteroides_heparinolyticus,9.376639686698026e-05,2,2,0,0,0.012195121951219513,0.0,31.00039682539682,0.001215148675651997,Healthy
Roseburia_faecis,0.00926612608098444,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Clostridioides_difficile,0.00013031397259978818,1,1,0,0,0.006097560975609756,0.0,1.0,0.0,Healthy
Blautia_producta,0.00013801555651679007,1,1,0,0,0.006097560975609756,0.0,1.0,0.0,Healthy
Bacteroides_vulgatus,0.08313023409460192,9,8,1,12,0.054878048780487805,0.3333333333333333,41.81785714285714,0.06659859301464267,Healthy
Faecalibacterium_prausnitzii,0.025913528872631608,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Absiella_dolichum,0.000540262780565599,4,4,0,5,0.024390243902439025,0.8333333333333334,34.72261904761902,0.00024965006081078373,Healthy
Peptostreptococcus_stomatis,5.2492021607181036e-05,2,2,0,1,0.012195121951219513,1.0,2.0,0.0,Healthy
Paraprevotella_xylaniphila,0.003687747643539647,5,5,0,2,0.03048780487804878,0.2,34.03373015873017,0.010194168952607656,Healthy
Odoribacter_laneus,0.001080192348778095,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Culturomica_massiliensis,0.0003161079121081437,2,2,0,0,0.012195121951219513,0.0,26.311904761904774,0.00025380684810119455,Healthy
Streptococcus_parasanguinis,0.0032841662920342725,2,2,0,1,0.012195121951219513,1.0,2.5,0.0,Healthy
Monoglobus_pectinilyticus,0.00034510480273725253,1,1,0,0,0.006097560975609756,0.0,18.0389971139971,0.0,Healthy
Clostridium_asparagiforme,0.0004935323264127119,10,10,0,29,0.06097560975609756,0.6444444444444445,38.21071428571431,0.0013190912370052632,Healthy
Holdemania_massiliensis,0.00023908546641814135,3,3,0,0,0.01829268292682927,0.0,30.707539682539682,0.017300686458803432,Healthy
Coprococcus_eutactus,0.0009398384133687081,2,2,0,0,0.012195121951219513,0.0,30.22420634920635,0.053419123148286694,Healthy
Bariatricus_massiliensis,5.581967134315528e-05,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
